Позиция,Обозначение,Количество,Значение,Поставщик и справка
1,C13,1,"0,1uF",
2,"C14,C12",2,3300pF,
3,"C11,C9,C8",3,"0,01uF",
4,"R12,R6,R14",3,1k,
5,"R9,R3,R4,R7",4,10k,
6,C10,1,120pF,
7,"R8,R11",2,1M,
8,C7,1,33pF,
9,L1,1,LTRIM,
10,"C4,C6",2,5..58pF,
11,C1,1,100n,
12,C2,1,3pF,
13,C3,1,75pF,
14,C15,1,10uF,
15,D1,1,D_Capacitance,
16,"Q1,Q2,Q3",3,Q_NJFET_DSG,
17,R1,1,22k,
18,R2,1,200k,
19,R5,1,510R,
20,R10,1,100R,
21,R13,1,100k,
22,C5,1,120pF*,
23,J1,1,Ant,
24,J2,1,Power,
25,J3,1,Sound Output,
26,RV1,1,22k,
27,RV2,1,10k,
